repeat 1/3
Data(x=[10641, 33], edge_index=[2, 44874], y=[10641], central_mask=[10641], train_mask=[10641], val_mask=[10641], test_mask=[10641])
GCNNet(
  (convs): ModuleList(
    (0): GCNConv(33, 64)
    (1): GCNConv(64, 2)
  )
)
auto fixed data split seed to 0, model init seed to 0
Data(x=[10641, 33], edge_index=[2, 44874], y=[10641], central_mask=[10641], train_mask=[10641], val_mask=[10641], test_mask=[10641])
[Dataset-Company()] train_num:1754, val_num:584, test_num:585, class_num:2
Epoch: 001, Loss:0.8544 Train: 0.4909, Val:0.4777, Test: 0.5044, Time(s/epoch):0.0199
Epoch: 002, Loss:0.7460 Train: 0.5661, Val:0.5548, Test: 0.5625, Time(s/epoch):0.0169
Epoch: 003, Loss:0.7228 Train: 0.5758, Val:0.5719, Test: 0.5676, Time(s/epoch):0.0157
Epoch: 004, Loss:0.7273 Train: 0.5804, Val:0.5668, Test: 0.5694, Time(s/epoch):0.0145
Epoch: 005, Loss:0.7211 Train: 0.5827, Val:0.5719, Test: 0.5676, Time(s/epoch):0.0138
Epoch: 006, Loss:0.7144 Train: 0.5872, Val:0.5702, Test: 0.5591, Time(s/epoch):0.0128
Epoch: 007, Loss:0.7176 Train: 0.5906, Val:0.5668, Test: 0.5574, Time(s/epoch):0.0121
Epoch: 008, Loss:0.7034 Train: 0.5901, Val:0.5548, Test: 0.5557, Time(s/epoch):0.0119
Epoch: 009, Loss:0.6861 Train: 0.5872, Val:0.5514, Test: 0.5694, Time(s/epoch):0.0138
Epoch: 010, Loss:0.6883 Train: 0.5878, Val:0.5325, Test: 0.5711, Time(s/epoch):0.0120
Epoch: 011, Loss:0.6870 Train: 0.5849, Val:0.5137, Test: 0.5711, Time(s/epoch):0.0119
Epoch: 012, Loss:0.6849 Train: 0.5730, Val:0.5308, Test: 0.5762, Time(s/epoch):0.0119
Epoch: 013, Loss:0.6791 Train: 0.5741, Val:0.5360, Test: 0.5625, Time(s/epoch):0.0119
Epoch: 014, Loss:0.6770 Train: 0.5815, Val:0.5360, Test: 0.5659, Time(s/epoch):0.0119
Epoch: 015, Loss:0.6804 Train: 0.5855, Val:0.5428, Test: 0.5694, Time(s/epoch):0.0123
Epoch: 016, Loss:0.6742 Train: 0.5924, Val:0.5445, Test: 0.5557, Time(s/epoch):0.0119
Epoch: 017, Loss:0.6714 Train: 0.6009, Val:0.5411, Test: 0.5471, Time(s/epoch):0.0118
Epoch: 018, Loss:0.6745 Train: 0.5981, Val:0.5514, Test: 0.5506, Time(s/epoch):0.0117
Epoch: 019, Loss:0.6773 Train: 0.5981, Val:0.5462, Test: 0.5557, Time(s/epoch):0.0117
Epoch: 020, Loss:0.6699 Train: 0.5941, Val:0.5599, Test: 0.5625, Time(s/epoch):0.0117
Epoch: 021, Loss:0.6718 Train: 0.5952, Val:0.5616, Test: 0.5642, Time(s/epoch):0.0117
Epoch: 022, Loss:0.6744 Train: 0.5969, Val:0.5548, Test: 0.5625, Time(s/epoch):0.0116
Epoch: 023, Loss:0.6715 Train: 0.5941, Val:0.5582, Test: 0.5642, Time(s/epoch):0.0116
Epoch: 024, Loss:0.6685 Train: 0.5929, Val:0.5582, Test: 0.5557, Time(s/epoch):0.0116
