repeat 1/3
Data(x=[10641, 33], edge_index=[2, 44874], y=[10641], central_mask=[10641], train_mask=[10641], val_mask=[10641], test_mask=[10641])
GraphSAGE(
  (convs): ModuleList(
    (0): SAGEConv(33, 64)
    (1): SAGEConv(64, 2)
  )
)
auto fixed data split seed to 0, model init seed to 0
Data(x=[10641, 33], edge_index=[2, 44874], y=[10641], central_mask=[10641], train_mask=[10641], val_mask=[10641], test_mask=[10641])
[Dataset-Company()] train_num:1754, val_num:584, test_num:585, class_num:2
Epoch: 001, Loss:0.7580 Train: 0.4846, Val:0.4401, Test: 0.4671, Time(s/epoch):0.0245
Epoch: 002, Loss:0.7359 Train: 0.5525, Val:0.4812, Test: 0.5252, Time(s/epoch):0.0220
Epoch: 003, Loss:0.6993 Train: 0.5849, Val:0.5462, Test: 0.5731, Time(s/epoch):0.0190
Epoch: 004, Loss:0.6899 Train: 0.5975, Val:0.5616, Test: 0.5731, Time(s/epoch):0.0203
Epoch: 005, Loss:0.6808 Train: 0.5958, Val:0.5616, Test: 0.5782, Time(s/epoch):0.0183
Epoch: 006, Loss:0.6771 Train: 0.6021, Val:0.5634, Test: 0.5799, Time(s/epoch):0.0172
Epoch: 007, Loss:0.6714 Train: 0.6049, Val:0.5753, Test: 0.5680, Time(s/epoch):0.0180
Epoch: 008, Loss:0.6697 Train: 0.6055, Val:0.5634, Test: 0.5663, Time(s/epoch):0.0159
Epoch: 009, Loss:0.6681 Train: 0.6129, Val:0.5753, Test: 0.5697, Time(s/epoch):0.0159
Epoch: 010, Loss:0.6621 Train: 0.6186, Val:0.5668, Test: 0.5680, Time(s/epoch):0.0155
Epoch: 011, Loss:0.6609 Train: 0.6186, Val:0.5634, Test: 0.5765, Time(s/epoch):0.0158
Epoch: 012, Loss:0.6655 Train: 0.6123, Val:0.5668, Test: 0.5816, Time(s/epoch):0.0157
Epoch: 013, Loss:0.6659 Train: 0.6135, Val:0.5771, Test: 0.5782, Time(s/epoch):0.0160
Epoch: 014, Loss:0.6593 Train: 0.6049, Val:0.5771, Test: 0.5782, Time(s/epoch):0.0155
Epoch: 015, Loss:0.6564 Train: 0.6083, Val:0.5753, Test: 0.5765, Time(s/epoch):0.0162
Epoch: 016, Loss:0.6592 Train: 0.6060, Val:0.5771, Test: 0.5748, Time(s/epoch):0.0156
Epoch: 017, Loss:0.6609 Train: 0.6072, Val:0.5753, Test: 0.5765, Time(s/epoch):0.0155
Epoch: 018, Loss:0.6570 Train: 0.6129, Val:0.5753, Test: 0.5834, Time(s/epoch):0.0161
Epoch: 019, Loss:0.6548 Train: 0.6135, Val:0.5753, Test: 0.5834, Time(s/epoch):0.0162
Epoch: 020, Loss:0.6556 Train: 0.6123, Val:0.5753, Test: 0.5885, Time(s/epoch):0.0155
Epoch: 021, Loss:0.6566 Train: 0.6129, Val:0.5753, Test: 0.5936, Time(s/epoch):0.0170
Epoch: 022, Loss:0.6546 Train: 0.6146, Val:0.5651, Test: 0.5987, Time(s/epoch):0.0191
Epoch: 023, Loss:0.6552 Train: 0.6152, Val:0.5702, Test: 0.5987, Time(s/epoch):0.0161
Epoch: 024, Loss:0.6493 Train: 0.6157, Val:0.5651, Test: 0.5953, Time(s/epoch):0.0190
Epoch: 025, Loss:0.6524 Train: 0.6140, Val:0.5634, Test: 0.5936, Time(s/epoch):0.0171
Epoch: 026, Loss:0.6527 Train: 0.6186, Val:0.5616, Test: 0.6022, Time(s/epoch):0.0170
Epoch: 027, Loss:0.6479 Train: 0.6180, Val:0.5702, Test: 0.5987, Time(s/epoch):0.0169
Epoch: 028, Loss:0.6516 Train: 0.6146, Val:0.5685, Test: 0.5987, Time(s/epoch):0.0170
Epoch: 029, Loss:0.6465 Train: 0.6140, Val:0.5685, Test: 0.5970, Time(s/epoch):0.0172
Epoch: 030, Loss:0.6481 Train: 0.6174, Val:0.5685, Test: 0.5987, Time(s/epoch):0.0171
Epoch: 031, Loss:0.6521 Train: 0.6192, Val:0.5668, Test: 0.5919, Time(s/epoch):0.0169
Epoch: 032, Loss:0.6482 Train: 0.6249, Val:0.5651, Test: 0.5970, Time(s/epoch):0.0170
Epoch: 033, Loss:0.6496 Train: 0.6243, Val:0.5514, Test: 0.5970, Time(s/epoch):0.0171
Epoch: 034, Loss:0.6472 Train: 0.6283, Val:0.5479, Test: 0.5953, Time(s/epoch):0.0171
Epoch: 035, Loss:0.6485 Train: 0.6306, Val:0.5548, Test: 0.5953, Time(s/epoch):0.0169
Epoch: 036, Loss:0.6447 Train: 0.6288, Val:0.5565, Test: 0.5953, Time(s/epoch):0.0172
Epoch: 037, Loss:0.6479 Train: 0.6283, Val:0.5548, Test: 0.5936, Time(s/epoch):0.0171
Epoch: 038, Loss:0.6433 Train: 0.6311, Val:0.5531, Test: 0.5987, Time(s/epoch):0.0158
Epoch: 039, Loss:0.6462 Train: 0.6323, Val:0.5599, Test: 0.5936, Time(s/epoch):0.0155
Epoch: 040, Loss:0.6438 Train: 0.6306, Val:0.5582, Test: 0.5868, Time(s/epoch):0.0157
Epoch: 041, Loss:0.6491 Train: 0.6328, Val:0.5634, Test: 0.5936, Time(s/epoch):0.0171
Epoch: 042, Loss:0.6434 Train: 0.6328, Val:0.5685, Test: 0.5953, Time(s/epoch):0.0171
Epoch: 043, Loss:0.6439 Train: 0.6323, Val:0.5634, Test: 0.5970, Time(s/epoch):0.0170
Epoch: 044, Loss:0.6402 Train: 0.6328, Val:0.5599, Test: 0.6022, Time(s/epoch):0.0169
Epoch: 045, Loss:0.6403 Train: 0.6380, Val:0.5634, Test: 0.6039, Time(s/epoch):0.0157
Epoch: 046, Loss:0.6439 Train: 0.6380, Val:0.5514, Test: 0.6073, Time(s/epoch):0.0171
Epoch: 047, Loss:0.6411 Train: 0.6380, Val:0.5514, Test: 0.6073, Time(s/epoch):0.0157
Epoch: 048, Loss:0.6453 Train: 0.6380, Val:0.5497, Test: 0.6124, Time(s/epoch):0.0175
Epoch: 049, Loss:0.6387 Train: 0.6357, Val:0.5462, Test: 0.6073, Time(s/epoch):0.0166
Epoch: 050, Loss:0.6386 Train: 0.6397, Val:0.5479, Test: 0.6073, Time(s/epoch):0.0164
Epoch: 051, Loss:0.6373 Train: 0.6408, Val:0.5497, Test: 0.6090, Time(s/epoch):0.0163
Epoch: 052, Loss:0.6392 Train: 0.6391, Val:0.5531, Test: 0.6107, Time(s/epoch):0.0153
Epoch: 053, Loss:0.6364 Train: 0.6374, Val:0.5616, Test: 0.6056, Time(s/epoch):0.0173
Epoch: 054, Loss:0.6437 Train: 0.6397, Val:0.5548, Test: 0.6039, Time(s/epoch):0.0155
Epoch: 055, Loss:0.6404 Train: 0.6374, Val:0.5582, Test: 0.5987, Time(s/epoch):0.0170
Epoch: 056, Loss:0.6368 Train: 0.6345, Val:0.5565, Test: 0.6022, Time(s/epoch):0.0155
Epoch: 057, Loss:0.6398 Train: 0.6368, Val:0.5565, Test: 0.6022, Time(s/epoch):0.0155
Epoch: 058, Loss:0.6378 Train: 0.6351, Val:0.5497, Test: 0.6039, Time(s/epoch):0.0155
Epoch: 059, Loss:0.6373 Train: 0.6380, Val:0.5514, Test: 0.5936, Time(s/epoch):0.0153
Epoch: 060, Loss:0.6392 Train: 0.6408, Val:0.5497, Test: 0.5970, Time(s/epoch):0.0151
Epoch: 061, Loss:0.6342 Train: 0.6460, Val:0.5462, Test: 0.5987, Time(s/epoch):0.0120
Epoch: 062, Loss:0.6405 Train: 0.6488, Val:0.5411, Test: 0.5919, Time(s/epoch):0.0117
Epoch: 063, Loss:0.6384 Train: 0.6545, Val:0.5411, Test: 0.5919, Time(s/epoch):0.0118
Epoch: 064, Loss:0.6404 Train: 0.6499, Val:0.5411, Test: 0.6022, Time(s/epoch):0.0118
Epoch: 065, Loss:0.6369 Train: 0.6494, Val:0.5479, Test: 0.5919, Time(s/epoch):0.0117
Epoch: 066, Loss:0.6356 Train: 0.6465, Val:0.5548, Test: 0.5868, Time(s/epoch):0.0129
Epoch: 067, Loss:0.6314 Train: 0.6477, Val:0.5582, Test: 0.5902, Time(s/epoch):0.0119
Epoch: 068, Loss:0.6350 Train: 0.6505, Val:0.5548, Test: 0.5885, Time(s/epoch):0.0143
