repeat 1/3
Data(x=[10641, 33], edge_index=[2, 44874], y=[10641], central_mask=[10641], train_mask=[10641], val_mask=[10641], test_mask=[10641])
JKNet(
  (convs): ModuleList(
    (0): GCNConv(33, 64)
    (1): GCNConv(64, 64)
  )
  (jump): JumpingKnowledge(cat)
  (lin): Linear(128, 2, bias=True)
)
auto fixed data split seed to 0, model init seed to 0
Data(x=[10641, 33], edge_index=[2, 44874], y=[10641], central_mask=[10641], train_mask=[10641], val_mask=[10641], test_mask=[10641])
[Dataset-Company()] train_num:1754, val_num:584, test_num:585, class_num:2
Epoch: 001, Loss:0.7193 Train: 0.5707, Val:0.5702, Test: 0.5709, Time(s/epoch):0.0338
Epoch: 002, Loss:0.6945 Train: 0.5878, Val:0.5651, Test: 0.5778, Time(s/epoch):0.0228
Epoch: 003, Loss:0.6899 Train: 0.5844, Val:0.5736, Test: 0.5641, Time(s/epoch):0.0215
Epoch: 004, Loss:0.6778 Train: 0.5872, Val:0.5736, Test: 0.5795, Time(s/epoch):0.0207
Epoch: 005, Loss:0.6803 Train: 0.5924, Val:0.5805, Test: 0.5624, Time(s/epoch):0.0199
Epoch: 006, Loss:0.6819 Train: 0.5958, Val:0.5668, Test: 0.5624, Time(s/epoch):0.0198
Epoch: 007, Loss:0.6751 Train: 0.5975, Val:0.5668, Test: 0.5658, Time(s/epoch):0.0252
Epoch: 008, Loss:0.6789 Train: 0.5969, Val:0.5719, Test: 0.5675, Time(s/epoch):0.0232
Epoch: 009, Loss:0.6787 Train: 0.5964, Val:0.5753, Test: 0.5761, Time(s/epoch):0.0222
Epoch: 010, Loss:0.6721 Train: 0.6003, Val:0.5753, Test: 0.5778, Time(s/epoch):0.0201
Epoch: 011, Loss:0.6738 Train: 0.5975, Val:0.5719, Test: 0.5675, Time(s/epoch):0.0198
Epoch: 012, Loss:0.6694 Train: 0.5986, Val:0.5651, Test: 0.5692, Time(s/epoch):0.0195
Epoch: 013, Loss:0.6693 Train: 0.5998, Val:0.5668, Test: 0.5692, Time(s/epoch):0.0195
Epoch: 014, Loss:0.6701 Train: 0.6021, Val:0.5582, Test: 0.5744, Time(s/epoch):0.0195
Epoch: 015, Loss:0.6692 Train: 0.6003, Val:0.5719, Test: 0.5675, Time(s/epoch):0.0200
Epoch: 016, Loss:0.6631 Train: 0.5998, Val:0.5736, Test: 0.5675, Time(s/epoch):0.0198
Epoch: 017, Loss:0.6674 Train: 0.6026, Val:0.5788, Test: 0.5709, Time(s/epoch):0.0192
Epoch: 018, Loss:0.6639 Train: 0.6009, Val:0.5822, Test: 0.5709, Time(s/epoch):0.0189
Epoch: 019, Loss:0.6655 Train: 0.6009, Val:0.5822, Test: 0.5709, Time(s/epoch):0.0190
Epoch: 020, Loss:0.6636 Train: 0.6009, Val:0.5788, Test: 0.5726, Time(s/epoch):0.0196
Epoch: 021, Loss:0.6656 Train: 0.6015, Val:0.5788, Test: 0.5726, Time(s/epoch):0.0193
Epoch: 022, Loss:0.6668 Train: 0.5998, Val:0.5788, Test: 0.5675, Time(s/epoch):0.0192
Epoch: 023, Loss:0.6678 Train: 0.6015, Val:0.5771, Test: 0.5709, Time(s/epoch):0.0190
Epoch: 024, Loss:0.6624 Train: 0.5992, Val:0.5685, Test: 0.5675, Time(s/epoch):0.0189
Epoch: 025, Loss:0.6617 Train: 0.6026, Val:0.5736, Test: 0.5675, Time(s/epoch):0.0189
Epoch: 026, Loss:0.6631 Train: 0.6021, Val:0.5753, Test: 0.5726, Time(s/epoch):0.0189
Epoch: 027, Loss:0.6640 Train: 0.6021, Val:0.5685, Test: 0.5709, Time(s/epoch):0.0190
Epoch: 028, Loss:0.6611 Train: 0.6032, Val:0.5702, Test: 0.5675, Time(s/epoch):0.0194
Epoch: 029, Loss:0.6596 Train: 0.6015, Val:0.5685, Test: 0.5709, Time(s/epoch):0.0224
Epoch: 030, Loss:0.6605 Train: 0.6038, Val:0.5702, Test: 0.5726, Time(s/epoch):0.0199
Epoch: 031, Loss:0.6619 Train: 0.6032, Val:0.5753, Test: 0.5709, Time(s/epoch):0.0204
Epoch: 032, Loss:0.6622 Train: 0.6015, Val:0.5788, Test: 0.5744, Time(s/epoch):0.0201
Epoch: 033, Loss:0.6620 Train: 0.6038, Val:0.5771, Test: 0.5795, Time(s/epoch):0.0204
Epoch: 034, Loss:0.6603 Train: 0.6032, Val:0.5771, Test: 0.5812, Time(s/epoch):0.0201
Epoch: 035, Loss:0.6622 Train: 0.6009, Val:0.5805, Test: 0.5778, Time(s/epoch):0.0201
Epoch: 036, Loss:0.6624 Train: 0.6003, Val:0.5805, Test: 0.5744, Time(s/epoch):0.0202
Epoch: 037, Loss:0.6581 Train: 0.6021, Val:0.5822, Test: 0.5744, Time(s/epoch):0.0207
Epoch: 038, Loss:0.6623 Train: 0.6038, Val:0.5856, Test: 0.5692, Time(s/epoch):0.0206
Epoch: 039, Loss:0.6624 Train: 0.6021, Val:0.5890, Test: 0.5692, Time(s/epoch):0.0193
Epoch: 040, Loss:0.6599 Train: 0.6015, Val:0.5788, Test: 0.5726, Time(s/epoch):0.0189
Epoch: 041, Loss:0.6635 Train: 0.6043, Val:0.5771, Test: 0.5726, Time(s/epoch):0.0180
Epoch: 042, Loss:0.6613 Train: 0.6078, Val:0.5634, Test: 0.5709, Time(s/epoch):0.0173
Epoch: 043, Loss:0.6603 Train: 0.6072, Val:0.5616, Test: 0.5744, Time(s/epoch):0.0163
Epoch: 044, Loss:0.6592 Train: 0.6049, Val:0.5685, Test: 0.5744, Time(s/epoch):0.0157
Epoch: 045, Loss:0.6611 Train: 0.6043, Val:0.5736, Test: 0.5726, Time(s/epoch):0.0158
Epoch: 046, Loss:0.6594 Train: 0.6038, Val:0.5771, Test: 0.5692, Time(s/epoch):0.0156
Epoch: 047, Loss:0.6613 Train: 0.6060, Val:0.5771, Test: 0.5812, Time(s/epoch):0.0156
Epoch: 048, Loss:0.6593 Train: 0.6038, Val:0.5736, Test: 0.5761, Time(s/epoch):0.0159
Epoch: 049, Loss:0.6631 Train: 0.6049, Val:0.5736, Test: 0.5761, Time(s/epoch):0.0158
Epoch: 050, Loss:0.6586 Train: 0.6038, Val:0.5736, Test: 0.5761, Time(s/epoch):0.0156
Epoch: 051, Loss:0.6582 Train: 0.6043, Val:0.5736, Test: 0.5761, Time(s/epoch):0.0157
Epoch: 052, Loss:0.6567 Train: 0.6112, Val:0.5736, Test: 0.5726, Time(s/epoch):0.0156
Epoch: 053, Loss:0.6617 Train: 0.6152, Val:0.5771, Test: 0.5726, Time(s/epoch):0.0156
Epoch: 054, Loss:0.6608 Train: 0.6112, Val:0.5736, Test: 0.5675, Time(s/epoch):0.0159
Epoch: 055, Loss:0.6585 Train: 0.6106, Val:0.5719, Test: 0.5709, Time(s/epoch):0.0163
Epoch: 056, Loss:0.6584 Train: 0.6117, Val:0.5753, Test: 0.5692, Time(s/epoch):0.0159
Epoch: 057, Loss:0.6635 Train: 0.6095, Val:0.5822, Test: 0.5726, Time(s/epoch):0.0158
Epoch: 058, Loss:0.6583 Train: 0.6089, Val:0.5839, Test: 0.5778, Time(s/epoch):0.0159
Epoch: 059, Loss:0.6613 Train: 0.6089, Val:0.5839, Test: 0.5778, Time(s/epoch):0.0160
